Director,FirstName,Gender,ExampleMovie
Abhishek Sharma,Abhishek,male,Tere Bin Laden Dead or Alive
Abolfazl Jalili,Abolfazl,male,Full or Empty
Álex de la Iglesia,Álex,male,Witching and Bitching
André van Heerden,André,male,Dragons or Dinosaurs?
Ang Lee,Ang,male,Sense and Sensibility
Anne-Marie Etienne,Anne-Marie,female,Sooner or Later
Arnaud Desplechin,Arnaud,male,My Sex Life... or How I Got Into an Argument
Arnaud Larrieu,Arnaud,male,To Paint or Make Love
Bahrudin 'Bato' Cengic,Bahrudin,male,Heads or Tails
Barbet Schroeder,Barbet,male,Before and After
Britt Allcroft,Britt,female,Thomas and the Magic Railroad
Çagan Irmak,Çagan,male,My Father and My Son
Cédric Klapisch,Cédric,male,"Not for, or Against (Quite the Contrary)"
Cem Yilmaz,Cem,male,Ali Baba and the Seven Dwarfs
Cesc Gay,Cesc,male,Nico and Dani
Chris Boyle,Chris,male,"Airlock, or How to Say Goodbye in Space"
Chris Columbus,Chris,male,Harry Potter and the Sorcerer's Stone
Chris Lavis,Chris,male,Higglety Pigglety Pop! or There Must Be More to Life
Chris Nelson,Chris,male,Date and Switch
Chris Tyrrell,Chris,male,Naughty or Nice
Chris W. Hill,Chris,male,Ride or Die
Chuan Lu,Chuan,male,City of Life and Death
C.M. Talkington,C.M.,male,Love and a .45
Corneliu Porumboiu,Corneliu,male,When Evening Falls on Bucharest or Metabolism
Danièle Huillet,Danièle,female,"Eyes Do Not Want to Close at All Times, or, Perhaps One Day Rome Will Allow Herself to Choose in Her Turn"
Del Lord,Del,male,Ten Dollars or Ten Days
Dome Karukoski,Dome,male,Beauty and the Bastard
Duccio Tessari,Duccio,male,Alive or Preferably Dead
D.W. Griffith,D.W.,male,The Avenging Conscience: or 'Thou Shalt Not Kill'
Eldar Shengelaia,Eldar,male,"Blue Mountains, or Unbelievable Story"
Elem Klimov,Elem,male,"Welcome, or No Trespassing"
Éric Rohmer,Éric,male,"Presentation, or Charlotte and Her Steak"
Fei Lung Huang,Fei,male,"Wanted! Bruce Li, Dead or Alive"
François Ozon,François,male,Truth or Dare
