"Gender","Director","Rating"
"female","Angelina Jolie",4.3
"female","Anne-Marie Etienne",3
"female","Aparna Sen",8
"female","Betty Thomas",4.5
"female","Britt Allcroft",3.6
"female","Carol Reed",7.2
"female","Cassandra Nicolaou",6.4
"female","Cheryl Furjanic",7.9
"female","Danièle Huillet",7.8
"female","Elaine Wu",7.2
"female","Elizabeth Allen Rosenbaum",6.7
"female","Enda McCallion",4.6
"female","Geneviève Hamon",6.7
"female","Gillian Armstrong",6.7
"female","Gurinder Chadha",6.4
"female","Jacqui Busséy",8.4
"female","Jean Aurel",5.1
"female","Jean Cocteau",8
"female","Jean Eustache",8.2
"female","Jessica Cameron",5.4
"female","Jocelyn Cammack",5.3
"female","Karen Shakhnazarov",6.6
"female","Karen Sosnoski",8
"female","Katja von Garnier",5.5
"female","Kelly Reichardt",7.1
"female","Keren Yedaya",7.1
"female","Kristin Hanggi",5.7
"female","Laura Nix",7.7
"female","Léa Pool",7
"female","Lee Friedlander",7
"female","Lesli Linka Glatter",6.7
"female","Mami Sunada",7.8
"female","Margarethe von Trotta",7.1
"female","Marie-Claude Treilhou",6.8
"female","Marina Zenovich",7.3
"female","Marita Grabiak",5.3
"female","Martha Coolidge",5.9
"female","Miranda July",7.4
"female","Oklahoma Ward",4.3
"female","Petra Epperlein",6.9
"female","Pier Paolo Pasolini",6.75
"female","Ping He",6.4
"female","Ragnheiður Gestsdóttir",7.3
"female","Rebecca Miller",6.7
"female","Renee Tajima-Pena",7.9
"female","Rose Troche",6.5
"female","Roxanne Meadows",8.3
"female","Rucha Humnabadkar",8.7
"female","Sara Bond",8.8
"female","Sophie Schoukens",6.5
"female","Stacy Peralta",7.7
"female","Stina Werenfels",6.3
"female","Su Friedrich",7.3
"female","Susannah Grant",6
"female","Susanne Bier",6.9
"female","Vee Vitanza",7.3
"female","Vera Chytilová",7.8
"female","Zhara Moufid",7
"male","Abbas Kiarostami",6.5
"male","Abhishek Sharma",4.3
"male","Abolfazl Jalili",6.9
"male","Adam Elliot",8.2
"male","Adisa",5.7
"male","Akira Kurosawa",8.4
"male","Alain Chabat",6.6
"male","Alain Corneau",7.1
"male","Alain Resnais",8.05
"male","Alain Tanner",7.4
"male","Alan Chan",3.5
"male","Alan Gibson",4.5
"male","Alan Johnson",6.8
"male","Alan Rafkin",7.4
"male","Alan Rudolph",6.4
"male","Albert Capellani",6.7
"male","Albert C. Gannaway",5.8
"male","Albert Pyun",5.7
"male","Alejandro G. Iñárritu",7.8
"male","Alejandro Jodorowsky",7.1
"male","Alejo Taube",6.4
"male","Alek Keshishian",6.2
"male","Alek Lev",4.1
"male","Aleksandr Petrov",8.1
"male","Aleksandr Sokurov",7.6
"male","Alexander Siqueira",6.4
"male","Alex Cox",7.1
"male","Álex de la Iglesia",6.4
"male","Alex Gibney",7.95
"male","Alex Lovy",7
"male","Alfonso Cuarón",7.8
"male","Alfonso Gomez-Rejon",7.8
"male","Al Lowe",8.1
"male","Alvy Ray Smith",5.4
"male","Anand Tucker",7.4
"male","Anatole Litvak",7.7
"male","Andrei Tarkovsky",7.6
"male","André van Heerden",5.7
"male","Andrew Adamson",6.9
"male","Andrew Chojecki",6.6
"male","Andrew Grieve",8
"male","Andrew Knight",6.1
"male","Andrews Jenkins",6.2
"male","Andrzej Wajda",7.9
"male","Andy Sidaris",3.4
"male","Andy Tennant",6.7
"male","Ang Lee",7.7
"male","Anthony Bell",5.3
"male","Anthony Giordano",7.4
"male","Anthony Mathile",8.3
"male","Anthony Minghella",6.5
"male","Anthony Russo",5.6
"male","Anthony Straeger",6.7
"male","Archie Mayo",6.5
"male","Arnaldo Jabor",6.9
"male","Arnaud Desplechin",6.9
"male","Arnaud Larrieu",6.1
"male","Arne Nolting",6.6
"male","Arthur Hurley",6
"male","Arthur Penn",7.9
"male","Axel Hildebrand",4.7
"male","Bahrudin 'Bato' Cengic",6.6
"male","Barbet Schroeder",6.1
"male","Barry Sonnenfeld",6.1
"male","Ben Ramsey",6.7
"male","Bernard Dartigues",7.6
"male","Bernardo Bertolucci",6.6
"male","Bill Alexander",7.4
"male","Bill Bennett",6.4
"male","Bill Condon",7.5
"male","Bill Melendez",6.8
"male","Billy Wilder",7.6
"male","Blake Edwards",7.9
"male","Bob Badway",4
"male","Bob Balaban",6.6
"male","Bobby Farrelly",5.7
"male","Bob Hoge",7.3
"male","Bob Rafelson",6.1
"male","Bob Vosse",5.9
"male","Bradley Raymond",7
"male","Brad Silberling",6.7
"male","Brad Turner",7
"male","Brendan Toller",6.7
"male","Brian Amyot",7.6
"male","Brian Mahoney",5.9
"male","Bruce Hart",7.9
"male","Bruce La Bruce",5.3
"male","Bruno Corbucci",6.2
"male","Bryan Spicer",5.7
"male","Burr Steers",5.8
"male","Çagan Irmak",8.7
"male","Camillo Mastrocinque",7.1
"male","Cecil B. DeMille",6.8
"male","Cedric Gibbons",7.6
"male","Cédric Klapisch",6.5
"male","Cem Yilmaz",6.3
"male","Cesc Gay",6.9
"male","Chad S. Taylor",7.1
"male","Charles Barton",7.26666666666667
"male","Charles Eames",6.9
"male","Charles Lamont",6.73333333333333
"male","Charles Martin Smith",5.7
"male","Charles Norton",2.9
"male","Charles R. Bowers",5.4
"male","Charles Vidor",7.2
"male","Chris Boyle",6.6
"male","Chris Columbus",7.45
"male","Chris Lavis",6.9
"male","Chris Nelson",5.8
"male","Christophe Gans",6.4
"male","Christopher Leitch",6.2
"male","Chris Tyrrell",6.1
"male","Chris W. Hill",2
"male","Chuan Lu",7.7
"male","Chuck Jones",7.38
"male","Chuck O'Neil",7.4
"male","Clarence Brown",8.1
"male","Clarence Yiu-leung Fok",5.2
"male","Clark Kline",7.2
"male","Claude Berri",6.8
"male","Claude Chabrol",7
"male","Claude Fournier",5.1
"male","Claude Lelouch",7.2
"male","Claude Zidi",6.6
"male","Clint Eastwood",6.6
"male","Clive A. Smith",7.5
"male","Clyde Geronimi",7.3
"male","C.M. Talkington",6.1
"male","Corey Yuen",4.8
"male","Corneliu Porumboiu",6.3
"male","Craig Gillespie",7.4
"male","Craig Moss",2.7
"male","Craig Ross Jr.",4.3
"male","Cristian Mungiu",7.9
"male","Cullen Hoback",7.4
"male","Curt Worden",8.2
"male","Damiano Damiani",6.4
"male","Damon Blalack",1.9
"male","Daniel Kusan",6
"male","Daniel Poliner",8.3
"male","Daniel Schmid",7.6
"male","Daniel Vigne",5.4
"male","Daniel Waters",6
"male","Danny Mooney",5.7
"male","Darrell Rooney",5.9
"male","Dave Fleischer",7.1
"male","Dave McGlone",7
"male","Dave Robinson",7.3
"male","Dave Schram",5
"male","David Anspaugh",5.8
"male","David Blair",7.1
"male","David Dhawan",5
"male","David Jackson",4.4
"male","David Lowell Rich",6.7
"male","David Mackay",6.5
"male","David Mackenzie",8
"male","David Mamet",6.8
"male","David Mirkin",6.1
"male","David Mun",5.8
"male","David Naylor",7.5
"male","David Palmer",6.1
"male","David Willcock",6.8
"male","David Yates",7.7
"male","Dean Hamilton",2.9
"male","Dean Parisot",6.1
"male","Del Lord",5.9
"male","Dennis Dugan",3.4
"male","Dick Lowry",3.3
"male","Dick Richards",6.3
"male","Dome Karukoski",6.6
"male","Dominic Anciano",6.5
"male","Dominic Fera",8.7
"male","Don Bluth",5.6
"male","Don Chaffey",7.4
"male","Don Roos",6.4
"male","Doug Atchison",7.5
"male","Douglas Carrigan",7
"male","Doug Liman",6.4
"male","Drew Barrymore",7
"male","Duane Graves",4.4
"male","Duane Hopkins",6.4
"male","Duccio Tessari",5.4
"male","Dusan Makavejev",7.4
"male","D.W. Griffith",6.45
"male","Edward D. Wood Jr.",4.1
"male","Edwin S. Porter",4.8
"male","Eldar Shengelaia",8.9
"male","Elem Klimov",8.3
"male","Eli Craig",7.6
"male","Elmer Clifton",5.7
"male","Emile Ardolino",5.2
"male","Eric Laneuville",5.8
"male","Éric Rohmer",6.7
"male","Ernst Lubitsch",8.2
"male","Errol Morris",7.5
"male","Ettore Scola",7.9
"male","Federico Fellini",7.5
"male","Fei Lung Huang",7.2
"male","Felix Herngren",7.1
"male","Ferenc Leroget",2.9
"male","Francis Ford Coppola",6.9
"male","François Ozon",6.5
"male","François Truffaut",7.9
"male","Franco Zeffirelli",7.7
"male","Frank Capra",7.05
"male","Frank Krom",6.4
"male","Franklin J. Schaffner",7.3
"male","Frank Tashlin",6.6
"male","Franz Hofer",5.3
"male","Fred Barney Taylor",6.6
"male","Fred C. Newmeyer",6.8
"male","Fred Schepisi",6.6
